setid,"Temperature, K",Mole fraction of tributyl(dodecyl)phosphonium 2-cyanopyrrolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YskBV,293.15,0,100,1123,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.004,100,1121,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.007,100,1119,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.01,100,1116,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.014,100,1114,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.027,100,1105,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.035,100,1099,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.042,100,1095,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.054,100,1087,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.065,100,1081,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.075,100,1075,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.096,100,1064,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.121,100,1052,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.177,100,1031,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.244,100,1010,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.324,100,992,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.43,100,971,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,0.538,100,957,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,293.15,1,100,917,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0,100,1117,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.004,100,1116,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.007,100,1113,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
