setid,"MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of glycylglycine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AkbIc,1,0,298.15,101,1027.43,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.06653,298.15,101,1030.84,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.06658,298.15,101,1030.84,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.09979,298.15,101,1032.53,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.09987,298.15,101,1032.54,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.13998,298.15,101,1034.58,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.14008,298.15,101,1034.59,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.15349,298.15,101,1035.21,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.1536,298.15,101,1035.23,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.17352,298.15,101,1036.25,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.17365,298.15,101,1036.27,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.18124,298.15,101,1036.6,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
AkbIc,1,0.18138,298.15,101,1036.62,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
