setid,"MolaLity of tetraphenylphosphonium chloride, mol/kg",Solvent: Mole fraction of 2-methylbutan-2-ol,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HAUKK,0,0.6478,298.15,827.519,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0,1,298.15,804.256,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0455,0.4516,298.15,853.017,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0477,0.0052,298.15,996.702,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0504,1,298.15,810.76,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0517,0.0106,298.15,993.888,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0529,0.0222,298.15,987.766,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0565,0.0163,298.15,991.269,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0689,0.6478,298.15,835.042,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0698,0.0052,298.15,998.058,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
