setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Dpkuk,100,293.15,0,998.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,1.57228e-05,998.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,2.24454e-05,998.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,3.15738e-05,998.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,4.37126e-05,998.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,5.90355e-05,998.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,8.39994e-05,998.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,0.000117096,998.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,0.000198844,998.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
Dpkuk,100,293.15,0.00032872,998.9,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
