setid,"MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QaENs,0,0.4374,101,298.15,1043.4,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0,0.7747,101,298.15,1053.5,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0,1.1682,101,298.15,1065.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0139,0.4374,101,298.15,1043.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.014,1.1682,101,298.15,1065.3,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0152,0.7747,101,298.15,1053.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0311,1.1682,101,298.15,1065.4,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0312,0.4374,101,298.15,1043.8,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0313,0.7747,101,298.15,1053.7,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
QaENs,0.0459,1.1682,101,298.15,1065.4,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
