setid,"Temperature, K","MolaLity of N-methyl-N-octylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yVGOX,293.15,0,101,998.203,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.02001,101,999.225,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.03004,101,1000.27,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.04992,101,1000.91,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.07153,101,1002.42,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.09708,101,1003.22,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.12655,101,1004.68,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.16251,101,1006.47,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.20117,101,1008.3,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,293.15,0.2457,101,1010.49,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
