setid,"Temperature, K","MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lwffl,293.15,0.001,100,998.32,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,293.15,0.003,100,998.38,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,293.15,0.005,100,998.45,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,298.15,0.001,100,997.09,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,298.15,0.003,100,997.15,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,298.15,0.005,100,997.22,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,303.15,0.001,100,995.74,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,303.15,0.003,100,995.8,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,303.15,0.005,100,995.89,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,308.15,0.001,100,994.1,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,308.15,0.003,100,994.15,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,308.15,0.005,100,994.19,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,313.15,0.001,100,992.23,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,313.15,0.003,100,992.3,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
lwffl,313.15,0.005,100,992.38,Majumder et al. (2023),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,
