setid,Mole fraction of ethyl acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VwnXg,0,101,298.15,1364,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.0883,101,298.15,1348.1,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.1793,101,298.15,1330.3,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.2746,101,298.15,1308.1,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.4156,101,298.15,1272.2,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.4691,101,298.15,1254.8,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.5703,101,298.15,1217.4,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.6738,101,298.15,1170.5,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.7532,101,298.15,1124.2,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.8339,101,298.15,1067,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
VwnXg,0.8821,101,298.15,1027.5,Li et al. (2007c),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
