setid,"Temperature, K","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FBukL,288.15,0,86,999.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0044,86,999.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0073,86,999.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0078,86,999.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0127,86,999.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0155,86,999.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0201,86,999.3,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,288.15,0.0223,86,999.3,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,298.15,0,86,997,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
FBukL,298.15,0.0044,86,997.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,,,
