setid,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JCaGG,291.8,0.0001631,Shiflett and Yokozeki (2006a),Density,Liquid mixture 1,Liquid mixture 2,,,Gas,,3,AAQIZu,CC(F)(F)F,"1,1,1-trifluoroethane"
JCaGG,324.6,0.0001788,Shiflett and Yokozeki (2006a),Density,Liquid mixture 1,Liquid mixture 2,,,Gas,,3,AAQIZu,CC(F)(F)F,"1,1,1-trifluoroethane"
JCaGG,338.6,0.0001813,Shiflett and Yokozeki (2006a),Density,Liquid mixture 1,Liquid mixture 2,,,Gas,,3,AAQIZu,CC(F)(F)F,"1,1,1-trifluoroethane"
