setid,"Pressure, kPa","Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Hneyn,100,283.15,0.12118,12.18,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,0.35619,35.03,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,0.59162,56.98,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,0.73399,69.94,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,0.88776,83.54,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,1.13814,105,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,1.27697,116.6,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,283.15,1.34779,122.42,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,0.11362,10.98,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,0.30624,29.08,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,0.50148,46.86,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,0.71603,65.73,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,0.94912,85.59,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,1.22112,107.97,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,298.15,1.68251,143.58,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,0.0729,6.91,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,0.11035,10.46,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,0.19007,17.93,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,0.40435,37.23,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,0.79898,71.28,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,1.03552,90.77,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,313.15,1.6316,136.91,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,0.0729,6.75,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,0.11035,10.24,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,0.19007,17.46,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,0.40435,36.5,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,0.79898,69.74,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,1.03552,88.82,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,100,328.15,1.6316,133.76,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,0.11362,10.13,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,0.30624,26.66,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,0.50148,42.8,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,0.71603,60.08,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,0.94912,77.93,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,1.22112,98.3,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,500,373.12,1.68251,130.75,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,0.11362,9.89,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,0.30624,25.57,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,0.50148,40.77,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,0.71603,56.82,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,0.94912,73.74,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,1.22112,92.89,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,2130,476.05,1.68251,123.45,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.0729,6.53,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.11365,9.93,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.30624,26.24,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.50148,41.82,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.71603,58.39,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,0.94912,75.6,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,1.22112,95.08,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,4560,524.85,1.68251,125.98,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,0.11035,9.81,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,0.19007,16.79,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,0.40435,34.63,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,0.61459,52.04,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,0.79898,66.51,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,1.0355,84.43,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10010,374.77,1.6316,127.02,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10130,573.39,0.11362,11.82,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
Hneyn,10130,573.39,0.30624,30.24,Xiao and Tremaine (1997),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
