setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
srecj,0,298.15,100,776.9,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0,303.15,100,771.9,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0,308.15,100,766.8,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0,313.15,100,761.7,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.1032,298.15,100,892.5,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.1032,303.15,100,888,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.1032,308.15,100,883.4,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.1032,313.15,100,878.9,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.203,298.15,100,971.6,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
srecj,0.203,303.15,100,967.2,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAKeXb,CCC#N,propanenitrile,,,
