setid,"Temperature, K","MolaLity of cholinium pentanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
knfFV,293.15,0.094,101,999.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.2049,101,1000.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.2778,101,1001.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.3853,101,1003.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.5021,101,1004.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.5999,101,1006,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.6957,101,1007.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.8086,101,1008.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.844,101,1008.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,0.9803,101,1010.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,1.0862,101,1011.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,293.15,1.091,101,1011.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.094,101,998.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.2049,101,999.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.2778,101,1000.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.3853,101,1001.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.5021,101,1003.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.5999,101,1004.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.6957,101,1005.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.8086,101,1006.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.844,101,1007.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,0.9803,101,1008.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,1.0862,101,1010,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,298.15,1.091,101,1009.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.094,101,996.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.2049,101,998.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.2778,101,999.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.3853,101,1000.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.5021,101,1001.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.5999,101,1002.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.6957,101,1003.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.8086,101,1005.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.844,101,1005.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,0.9803,101,1006.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,1.0862,101,1008.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,303.15,1.091,101,1008,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.094,101,995.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.2049,101,996.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.2778,101,997.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.3853,101,998.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.5021,101,999.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.5999,101,1001,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.6957,101,1002,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.8086,101,1003.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.844,101,1003.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,0.9803,101,1004.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,1.0862,101,1006.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,308.15,1.091,101,1006,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.094,101,993.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.2049,101,994.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.2778,101,995.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.3853,101,996.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.5021,101,997.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.5999,101,999,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.6957,101,999.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.8086,101,1001.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.844,101,1001.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,0.9803,101,1002.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,1.0862,101,1003.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,313.15,1.091,101,1003.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.094,101,991.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.2049,101,992.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.2778,101,993.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.3853,101,994.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.5021,101,995.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.5999,101,996.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.6957,101,997.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.8086,101,998.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.844,101,999.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,0.9803,101,1000.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,1.0862,101,1001.6,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,318.15,1.091,101,1001.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.094,101,989.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.2049,101,990.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.2778,101,991.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.3853,101,992.3,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.5021,101,993.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.5999,101,994.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.6957,101,995.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.8086,101,996.5,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.844,101,996.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,0.9803,101,998,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,1.0862,101,999,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,323.15,1.091,101,999,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.094,101,986.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.2049,101,987.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.2778,101,988.7,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.3853,101,989.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.5021,101,991,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.5999,101,992,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.6957,101,992.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.8086,101,993.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.844,101,994.2,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,0.9803,101,995.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,1.0862,101,996.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,328.15,1.091,101,996.4,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,333.15,0.094,101,984,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,333.15,0.2049,101,985.1,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,333.15,0.2778,101,985.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,333.15,0.3853,101,986.8,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
knfFV,333.15,0.5021,101,987.9,Panda et al. (2018),Density,Liquid,AAnYgA,CCCCC(=O)[O-].C[N+](C)(C)CCO,cholinium pentanoate,AADYJk,O,water,,,
