setid,"Temperature, K","MolaLity of 1-methyl-1-propylpiperidinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mmVPR,293.15,0.2501,101,1008.72,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,0.5,101,1018.24,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,0.75,101,1027.42,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,0.9998,101,1036.22,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,1.2501,101,1044.44,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,1.5002,101,1052.29,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,1.75,101,1059.77,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,2.0007,101,1066.77,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,2.2,101,1072.13,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,293.15,2.3996,101,1077.21,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,0.2501,101,1007.5,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,0.5,101,1016.88,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,0.75,101,1025.92,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,0.9998,101,1034.59,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,1.2501,101,1042.69,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,1.5002,101,1050.42,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,1.75,101,1057.79,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,2.0007,101,1064.7,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,2.2,101,1069.98,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,298.15,2.3996,101,1074.98,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,0.2501,101,1006.09,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,0.5,101,1015.33,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,0.75,101,1024.23,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,0.9998,101,1032.75,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,1.2501,101,1040.75,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,1.5002,101,1048.38,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,1.75,101,1055.64,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,2.0007,101,1062.46,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,2.2,101,1067.67,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,303.15,2.3996,101,1072.61,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,308.15,0.2501,101,1004.66,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
mmVPR,308.15,0.5,101,1013.72,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
