setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FGdVC,288.15,0,101,795.8,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.0495,101,970.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.1886,101,1186.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.3407,101,1281.7,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.4932,101,1332.2,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.6076,101,1356.2,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.637,101,1361.2,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.801,101,1384,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.8363,101,1388.1,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,0.9135,101,1395.6,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,288.15,1,101,1403.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0,101,786.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.0495,101,960.7,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.1886,101,1176.8,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.3407,101,1272.3,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.4932,101,1323,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.6076,101,1347,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.637,101,1352.1,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
FGdVC,298.15,0.801,101,1375,Geppert-Rybczynska et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
