setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UmrHZ,293.15,0,100,0.01,998.463,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.003,100,0.01,998.574,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.006,100,0.01,998.662,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.009,100,0.01,998.703,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.012,100,0.01,998.761,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.015,100,0.01,998.805,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.018,100,0.01,998.861,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.021,100,0.01,998.899,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.024,100,0.01,998.935,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.027,100,0.01,998.98,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,293.15,0.03,100,0.01,999.024,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,298.15,0,100,0.01,997.163,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
UmrHZ,298.15,0.003,100,0.01,997.285,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
