setid,"Temperature, K","Pressure, kPa",Mole fraction of tetrabutylphosphonium methanesulfonate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DcaLM,303.05,101.325,0.5,1018,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
DcaLM,313.05,101.325,0.5,1011,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
DcaLM,323.15,101.325,0.5,1005,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
DcaLM,333.05,101.325,0.5,999,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
DcaLM,343.05,101.325,0.5,992,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
DcaLM,353.05,101.325,0.5,986,Ahmed et al. (2018),Density,Liquid,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,AANEpq,c1c[nH]cn1,1H-imidazole,,,
