setid,Solvent: Weight fraction of acetonitrile,"Pressure, kPa","MolaRity of tetraethylammonium tetrafluoroborate, mol/dm3","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jDCEX,0,100,0.00013,298.2,1008.7,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.1,100,0.00013,298.2,964.7,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.2,100,0.00013,298.2,924.2,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.3,100,0.00013,298.2,888.3,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.4,100,0.00013,298.2,868.9,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.5,100,0.00013,298.2,851.7,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.6,100,0.00013,298.2,833,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.7,100,0.00013,298.2,815.1,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.8,100,0.00013,298.2,802.8,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,0.9,100,0.00013,298.2,788.9,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
jDCEX,1,100,0.00013,298.2,773.9,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AADYJk,O,water
