setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,Mole fraction of propan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JDkzq,303.15,0.2957,0.4006,101,986.02,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.2981,0.6013,101,989.85,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3005,0.4992,101,989.21,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3008,0.0992,101,984.07,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3008,0.3005,101,986.81,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3024,0.2999,101,986.1,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3937,0.3005,101,1022.5,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3992,0.4996,101,1026.72,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.3998,0.0998,101,1020.75,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.4009,0.4006,101,1024.95,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.403,0.1968,101,1023.54,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.4975,0.104,101,1052.19,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.4981,0.4041,101,1055.08,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.4996,0.3012,101,1055.06,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.5981,0.1042,101,1078.05,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.5992,0.2005,101,1078.33,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.6009,0.2875,101,1079.52,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.6906,0.1121,101,1097.69,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,303.15,0.7203,0.1504,101,1102.08,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
