setid,"MolaLity of 1-ethyl-3-methylimidazolium uracilide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VGOjK,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.0202,94.4,298.15,998.06,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.0374,94.4,298.15,998.91,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.0566,94.4,298.15,999.86,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.0965,94.4,298.15,1001.81,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.1697,94.4,298.15,1005.32,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.2525,94.4,298.15,1009.19,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.3413,94.4,298.15,1013.25,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.4413,94.4,298.15,1017.72,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.5427,94.4,298.15,1022.07,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.635,94.4,298.15,1025.98,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.7,94.4,298.15,1028.67,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.852,94.4,298.15,1034.69,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
VGOjK,0.9615,94.4,298.15,1038.9,Gavhane et al. (2022),Density,Liquid,AAqmGa,[N-]1C(=O)NC(=O)C=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
