setid,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kgdVt,0,298.15,101,1394.5,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0,303.15,101,1390.1,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0,308.15,101,1385.7,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.0593,298.15,101,1384.7,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.0593,303.15,101,1380.3,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.0593,308.15,101,1375.9,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.1319,298.15,101,1371.7,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.1319,303.15,101,1367.2,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.1319,308.15,101,1362.8,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.2344,298.15,101,1350.3,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
