setid,"Temperature, K","MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GEIMx,298.15,0.01309,101.325,777.87,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,298.15,0.02574,101.325,778.83,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,298.15,0.03239,101.325,779.33,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,298.15,0.03895,101.325,779.82,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,298.15,0.0454,101.325,780.3,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,298.15,0.05215,101.325,780.8,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.01292,101.325,766.62,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.02578,101.325,767.58,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.0324,101.325,768.07,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.03894,101.325,768.55,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.04551,101.325,769.03,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,308.15,0.05225,101.325,769.52,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.0127,101.325,755.93,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.02562,101.325,756.88,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.03221,101.325,757.36,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.0387,101.325,757.83,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.04538,101.325,758.31,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
GEIMx,318.15,0.05208,101.325,758.79,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
