setid,Mole fraction of ethylammonium butyrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sGRGV,0,298.15,100,997,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.089,298.15,100,1013.6,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.198,298.15,100,1003.5,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.331,298.15,100,991.1,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.401,298.15,100,986,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.497,298.15,100,980.1,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.605,298.15,100,974.8,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.711,298.15,100,970.6,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.839,298.15,100,966.3,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,0.901,298.15,100,964.5,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
sGRGV,1,298.15,100,962,Usula et al. (2015),Density,Liquid,AADYJk,O,water,AAZfjL,CCCC(=O)[O-].CC[NH3+],ethylammonium butyrate,,,
