setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ILUqT,293.15,0,101,1056.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,293.15,0.2,101,1052.6,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,293.15,0.4,101,1049.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,293.15,0.6,101,1046,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,293.15,0.8,101,1043.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,293.15,1,101,1040.6,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,0,101,1049.6,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,0.2,101,1046.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,0.4,101,1043,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,0.6,101,1039.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,0.8,101,1036.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,303.15,1,101,1032.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,0,101,1043.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,0.2,101,1040.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,0.4,101,1037,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,0.6,101,1033.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,0.8,101,1029.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,313.15,1,101,1025.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,0,101,1037.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,0.2,101,1034.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,0.4,101,1030.9,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,0.6,101,1026.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,0.8,101,1023.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,323.15,1,101,1017.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,0,101,1031.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,0.2,101,1028.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,0.4,101,1024.7,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,0.6,101,1020.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,0.8,101,1016.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,333.15,1,101,1010,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,0,101,1025.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,0.2,101,1022.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,0.4,101,1018.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,0.6,101,1014.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,0.8,101,1009.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
ILUqT,343.15,1,101,1002.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
