setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg",Solvent: Weight fraction of monopotassium phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gdMDR,298.15,0.2991,0.1,101,1082.02,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.324,0.1,101,1083.09,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.3358,0.1,101,1083.59,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.3572,0.1,101,1084.51,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.3611,0.04,101,1044.7,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.3656,0.1,101,1084.86,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.4003,0.1,101,1086.34,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.4325,0.1,101,1087.69,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.4448,0.04,101,1048.94,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
gdMDR,298.15,0.4665,0.1,101,1089.11,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAaImV,O=P([O-])(O)O.[K+],monopotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
