setid,Solvent: Weight fraction of trimethylbenzylammonium chloride,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AAIuX,0.001,298.15,0.01,100,997.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,298.15,0.0251,100,998.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,298.15,0.0402,100,999.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,298.15,0.0554,100,1000.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,298.15,0.0705,100,1001.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,298.15,0.0858,100,1003.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,303.15,0.01,100,995.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,303.15,0.0251,100,996.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,303.15,0.0402,100,997.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,303.15,0.0554,100,998.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
