setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KDaVY,288.15,0,100,1060.77,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.1007,100,1062.59,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.1999,100,1062.07,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.2985,100,1060.9,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.3856,100,1059.61,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.4985,100,1057.18,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.6069,100,1054.4,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.6969,100,1052.15,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.7981,100,1049.53,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
KDaVY,288.15,0.8903,100,1047.22,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAVxvI,CN1CCN(C)C1=O,"1,3-dimethyl-2-imidazolidinone",,,
