setid,"MolaLity of 1-methyl-3-tetradecylimidazolium gluconate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dWSyX,0.0571,101,298.15,1000.25,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABnODP,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-tetradecylimidazolium gluconate,,,
dWSyX,0.0731,101,298.15,1001.12,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABnODP,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-tetradecylimidazolium gluconate,,,
dWSyX,0.0948,101,298.15,1002.27,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABnODP,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-tetradecylimidazolium gluconate,,,
dWSyX,0.1135,101,298.15,1003.24,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABnODP,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-tetradecylimidazolium gluconate,,,
dWSyX,0.1235,101,298.15,1003.74,Chen et al. (2016b),Density,Liquid,AADYJk,O,water,ABnODP,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-tetradecylimidazolium gluconate,,,
