setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of 2-propenol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JQGTE,298.15,0.0149,0.8799,87,937.2,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0156,0.0567,87,1333,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0263,0.1549,87,1294,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0268,0.1184,87,1307.1,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0282,0.9177,87,917.2,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0354,0.7074,87,1042.1,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0381,0.6151,87,1091.2,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0516,0.2055,87,1268.8,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0668,0.5671,87,1114.3,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.0834,0.3373,87,1213.1,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.1136,0.4731,87,1154.4,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.1271,0.4459,87,1165.1,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.1571,0.5545,87,1119.2,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.1947,0.4933,87,1144.6,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JQGTE,298.15,0.2243,0.2686,87,1221.3,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
