setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of L-phenylalanine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DGCYi,0,293.15,0.02001,101.3,999.095,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.04027,101.3,999.984,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.05993,101.3,1000.84,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.08006,101.3,1001.71,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.09988,101.3,1002.55,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.12012,101.3,1003.4,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,293.15,0.14001,101.3,1004.23,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.02001,101.3,997.891,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.04027,101.3,998.778,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.05993,101.3,999.631,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.08006,101.3,1000.5,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.09988,101.3,1001.34,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.12012,101.3,1002.19,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,298.15,0.14001,101.3,1003.02,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,303.15,0.02001,101.3,996.494,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
DGCYi,0,303.15,0.04027,101.3,997.381,Kumar et al. (2022),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
