setid,Mole fraction of hexane,"Mole fraction of 1,3-dimethylbenzene","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wAWZb,0.003,0.107,101,298.15,1198.4,Gonzalez et al. (2010i),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
wAWZb,0.007,0.079,101,298.15,1203.5,Gonzalez et al. (2010i),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
wAWZb,0.008,0.04,101,298.15,1210.7,Gonzalez et al. (2010i),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
