setid,"Temperature, K","MolaLity of cholinium propanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
frfAP,293.15,0,101,998.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.0888,101,999.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.2087,101,1001.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.3519,101,1003.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.4125,101,1004.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.5208,101,1006.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.6072,101,1007.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.6806,101,1008.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.8029,101,1010.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,0.8782,101,1011.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
