setid,"Temperature, K","MolaLity of tetraethylammonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uCsVa,283.15,0,101,1214.99,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.01024,101,1214.99,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.01277,101,1214.97,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.01853,101,1214.91,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.03015,101,1214.73,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.0386,101,1214.69,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.05535,101,1214.53,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.07347,101,1214.43,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.08935,101,1214.22,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.1043,101,1214.09,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.1382,101,1213.7,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
uCsVa,283.15,0.3015,101,1212.09,Tyunina et al. (2012),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,
