setid,"Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","MolaLity of L-glutamic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kidcd,0,288.15,0,100,999.14,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.1004,100,1003.19,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.2989,100,1010.92,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.4922,100,1018.13,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.6987,100,1025.53,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.8989,100,1032.31,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,288.15,0.9988,100,1035.63,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0,100,997.09,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.1004,100,1001.05,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.2989,100,1008.61,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.4922,100,1015.65,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.6987,100,1022.85,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.8989,100,1029.55,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
kidcd,0,298.15,0.9988,100,1032.72,Gaba et al. (2022),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
