setid,"MolaLity of 1-methyl-3-octylimidazolium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PMrmd,0.0045,298.15,101,997.19,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0058,298.15,101,997.23,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0077,298.15,101,997.29,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0112,298.15,101,997.4,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.017,298.15,101,997.58,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0196,298.15,101,997.66,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0235,298.15,101,997.78,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0264,298.15,101,997.87,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0369,298.15,101,998.19,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0428,298.15,101,998.37,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PMrmd,0.0454,298.15,101,998.45,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
