setid,Weight fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JfSmQ,0.1816,293.15,101.3,953.8,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,298.15,101.3,950.2,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,303.15,101.3,946.7,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,308.15,101.3,943.1,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,313.15,101.3,939.5,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,318.15,101.3,935.9,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,323.15,101.3,932.3,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,328.15,101.3,928.7,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.1816,333.15,101.3,923,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,293.15,101.3,956,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
