setid,Mole fraction of cyclohexane,"Mole fraction of 1,2-dimethylbenzene","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zHvwK,0.004,0.144,303.15,101.3,11.166,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.004,0.15,303.15,101.3,11.158,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.005,0.101,303.15,101.3,11.198,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.005,0.144,303.15,101.3,11.157,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.007,0.099,303.15,101.3,11.275,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.007,0.115,303.15,101.3,11.251,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.009,0.041,303.15,101.3,11.5,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.009,0.051,303.15,101.3,11.474,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.009,0.052,303.15,101.3,11.44,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0,303.15,101.3,11.634,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
