setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ewcPg,0.0572,0,298.15,101.3,997.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0,308.15,101.3,994.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0,310.15,101.3,993.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0,318.15,101.3,990.7,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.305,298.15,101.3,1007.1,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.305,308.15,101.3,1003.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.305,310.15,101.3,1003.2,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.305,318.15,101.3,1000,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.406,298.15,101.3,1010.2,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.406,308.15,101.3,1007,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.406,310.15,101.3,1006.2,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.406,318.15,101.3,1003,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.497,298.15,101.3,1012.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.497,308.15,101.3,1009.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.497,310.15,101.3,1008.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.497,318.15,101.3,1005.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.602,298.15,101.3,1016,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.602,308.15,101.3,1012.7,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.602,310.15,101.3,1011.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.602,318.15,101.3,1008.7,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.701,298.15,101.3,1018.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.701,308.15,101.3,1015.5,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.701,310.15,101.3,1014.7,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.701,318.15,101.3,1011.4,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.814,298.15,101.3,1022.1,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.814,308.15,101.3,1018.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.814,310.15,101.3,1017.9,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.814,318.15,101.3,1014.5,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.889,298.15,101.3,1024.2,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.889,308.15,101.3,1020.8,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.889,310.15,101.3,1020,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.889,318.15,101.3,1016.6,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.979,298.15,101.3,1026.7,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.979,308.15,101.3,1023.2,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.979,310.15,101.3,1022.4,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0572,0.979,318.15,101.3,1019.1,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0991,0,298.15,101.3,998.1,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
ewcPg,0.0991,0,308.15,101.3,995,Kaur and Patyar (2023),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
