setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GLJTd,288.15,0,84.5,999.099,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00233,84.5,999.188,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00278,84.5,999.209,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00301,84.5,999.216,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00467,84.5,999.282,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00501,84.5,999.296,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00665,84.5,999.36,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00889,84.5,999.451,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.00906,84.5,999.458,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.01229,84.5,999.569,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.01511,84.5,999.659,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.01804,84.5,999.736,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.02431,84.5,999.927,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.03042,84.5,1000.12,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.04595,84.5,1000.6,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.06124,84.5,1001.06,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.07667,84.5,1001.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.098,84.5,1002.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,288.15,0.10952,84.5,1002.5,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,293.15,0,84.5,998.203,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,293.15,0.00233,84.5,998.288,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,293.15,0.00278,84.5,998.306,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,293.15,0.00301,84.5,998.314,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
GLJTd,293.15,0.00467,84.5,998.376,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
