setid,Mole fraction of cyclooctane,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IXAkx,0,0.328,101,298.15,1151,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.006,0.293,101,298.15,1158.9,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.008,0.234,101,298.15,1170.7,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.008,0.273,101,298.15,1162.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.01,0.176,101,298.15,1181.2,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.012,0.146,101,298.15,1186.1,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.013,0.193,101,298.15,1177.7,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.014,0.048,101,298.15,1202.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.014,0.094,101,298.15,1194.4,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.015,0.078,101,298.15,1197.3,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
IXAkx,0.02,0,101,298.15,1207.6,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
