setid,"Temperature, K",Mole fraction of tetrabutylammonium picrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xQkuO,293.15,0,101,1205,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,293.15,0.1042,101,1211.6,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,293.15,0.2043,101,1213.4,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,293.15,0.3123,101,1212.5,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,303.15,0,101,1195.3,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,303.15,0.0858,101,1200.1,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,303.15,0.1675,101,1202.98,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,303.15,0.2412,101,1202.98,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,303.15,0.3047,101,1200.6,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,313.1,0,101,1185.4,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,313.1,0.0629,101,1190,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,313.1,0.1376,101,1193.3,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,313.1,0.2086,101,1194.3,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
xQkuO,313.1,0.2865,101,1193.3,Sonawane and Kumar (2004),Density,Liquid,AAXjRv,O=[N+]([O-])c1ccccc1,nitrobenzene,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
