setid,Mole fraction of cyclooctane,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ugaqG,0,0.189,298.15,101,1174.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.006,0.151,298.15,101,1182.34,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.006,0.151,298.15,101,1182.34,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.01,0.101,298.15,101,1191.9,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.01,0.13,298.15,101,1187.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.013,0.07,298.15,101,1197.3,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.013,0.09,298.15,101,1193.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.014,0.049,298.15,101,1200.9,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.017,0.024,298.15,101,1205.1,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.02,0,298.15,101,1207.6,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ugaqG,0.02,0.04,298.15,101,1201.9,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAVeaX,C1CCCCCCC1,cyclooctane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
