setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ahjlv,0,303.15,97.6,931.9,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,308.15,97.6,927.3,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,313.15,97.6,922.7,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,318.15,97.6,918.1,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,323.15,97.6,913.4,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,328.15,97.6,908.8,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,333.15,97.6,904.2,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,338.15,97.6,899.5,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,343.15,97.6,894.9,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,348.15,97.6,890.2,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0,353.15,97.6,885.5,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0.139,303.15,97.6,958.1,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ahjlv,0.139,308.15,97.6,954.1,Yang et al. (2017a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
