setid,Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of rubidium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hiDEk,0,0.3987,101,298.15,1355.4,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.0529,0.3458,101,298.15,1309.13,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.1153,0.2862,101,298.15,1260.92,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.1846,0.2386,101,298.15,1207.76,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.2598,0.1961,101,298.15,1175.03,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.3416,0.1544,101,298.15,1163.52,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.4313,0.1103,101,298.15,1149.32,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.5228,0.0757,101,298.15,1120.63,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.615,0.0486,101,298.15,1106.45,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
hiDEk,0.7027,0.0336,101,298.15,1106.35,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
