setid,"MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PFIrK,0,0.3937,101,298.15,1042.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0,0.7797,101,298.15,1053.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0,1.1757,101,298.15,1066.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.012,0.7797,101,298.15,1053.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.013,0.3937,101,298.15,1042.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.014,1.1757,101,298.15,1066,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0252,1.1757,101,298.15,1065.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.026,0.3937,101,298.15,1042.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.026,0.7797,101,298.15,1053.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.038,0.3937,101,298.15,1042.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0393,1.1757,101,298.15,1065.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.042,0.7797,101,298.15,1053.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.052,0.3937,101,298.15,1042.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0527,1.1757,101,298.15,1065.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.054,0.7797,101,298.15,1053,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0653,1.1757,101,298.15,1065.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.066,0.3937,101,298.15,1042.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.066,0.7797,101,298.15,1052.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0774,1.1757,101,298.15,1065.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.078,0.7797,101,298.15,1052.8,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.079,0.3937,101,298.15,1042.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.0911,1.1757,101,298.15,1064.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.092,0.3937,101,298.15,1042.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.092,0.7797,101,298.15,1052.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.104,0.7797,101,298.15,1052.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.105,0.3937,101,298.15,1042.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
PFIrK,0.1059,1.1757,101,298.15,1064.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
