setid,"Temperature, K","MolaLity of tetra-iso-butyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gLHiX,298.15,0.01022,74.66,997.574,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.02021,74.66,998.092,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.02983,74.66,998.59,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.03847,74.66,999.027,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.04829,74.66,999.524,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.05621,74.66,999.922,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.06888,74.66,1000.56,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.07666,74.66,1000.96,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.08623,74.66,1001.43,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,298.15,0.10018,74.66,1002.15,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.01022,74.66,996.171,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.02021,74.66,996.676,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.02983,74.66,997.167,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.03847,74.66,997.6,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.04829,74.66,998.101,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.05621,74.66,998.499,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
gLHiX,303.15,0.06888,74.66,999.123,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
