setid,"Temperature, K",Mole fraction of butylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SlvrR,293.15,0,92.3,809.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.0514,92.3,822.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.1012,92.3,833.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.1517,92.3,844.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.2029,92.3,854.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.2497,92.3,864,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.3004,92.3,873.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.3502,92.3,882.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.4002,92.3,890.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.4384,92.3,897.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.4997,92.3,907.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.5497,92.3,914.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.5974,92.3,922,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.6496,92.3,929.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.7001,92.3,936.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.7484,92.3,943.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.7991,92.3,949.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.8493,92.3,956.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
SlvrR,293.15,0.8984,92.3,962.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAONVE,CCCCO,butan-1-ol,,,
