setid,"Temperature, K","Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sjBrc,283.15,0,101,958.067,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.02269,101,959.351,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.04218,101,960.443,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.06274,101,961.586,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.08215,101,962.663,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.1147,101,964.449,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.1455,101,966.152,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.1761,101,967.825,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,283.15,0.2062,101,969.465,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0,101,948.553,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.02269,101,949.863,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
