setid,Mole ratio to solvent: tetrabutylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KLYbR,8,313.15,100,932.7,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,8,323.15,100,927.8,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,8,333.15,100,922.9,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,8,343.15,100,917.8,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,8,353.15,100,912.9,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,9,313.15,100,949.9,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,9,323.15,100,944.7,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,9,333.15,100,938.3,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,9,343.15,100,934.2,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,9,353.15,100,927.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,10,313.15,100,947.5,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,10,323.15,100,941.8,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,10,333.15,100,936.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,10,343.15,100,930.3,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
KLYbR,10,353.15,100,924.6,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,
