setid,"Temperature, K","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of decan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HiIDv,298.15,0.1,0,101,1000.97,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.002,101,1000.9,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.009,101,1000.68,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.011,101,1000.61,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.013,101,1000.53,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.016,101,1000.43,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.02,101,1000.31,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,298.15,0.1,0.022,101,1000.24,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0,101,999.555,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.002,101,999.482,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.009,101,999.252,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.011,101,999.179,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.013,101,999.102,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.016,101,998.994,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.02,101,998.864,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,303.15,0.1,0.022,101,998.794,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0,101,997.734,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.002,101,997.658,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.009,101,997.419,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.011,101,997.343,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.013,101,997.263,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.016,101,997.15,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.02,101,997.016,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HiIDv,308.15,0.1,0.022,101,996.942,Dubey (2011),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
