setid,Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GxfEZ,0,313.15,100,1021.4,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,318.15,100,1017.6,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,323.15,100,1013.7,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,328.15,100,1009.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,333.15,100,1005.9,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,338.15,100,1001.9,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,343.15,100,997.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,348.15,100,993.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0,353.15,100,989.7,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
GxfEZ,0.1256,313.15,100,1181.4,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
