setid,"Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","MolaLity of L-proline, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HCPEh,0.001,0.001,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.001,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.001,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0025,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0025,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0025,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.004,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.004,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.004,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0055,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0055,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0055,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.007,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.007,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.007,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0085,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0085,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.001,0.0085,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.001,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.001,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.001,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0025,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0025,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0025,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.004,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.004,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.004,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0055,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0055,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0055,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.007,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.007,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.007,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0085,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0085,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.003,0.0085,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.001,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.001,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.001,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.0025,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.0025,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.0025,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.004,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.004,303.15,101,996,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.004,308.15,101,994,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
HCPEh,0.005,0.0055,298.15,101,997,Ghosh et al. (2022),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
