setid,"Temperature, K","MolaLity of 1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sUjaS,293.15,0,100,1011.28,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.0297,100,1015.67,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.0391,100,1017.12,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.0491,100,1018.64,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.0798,100,1023.26,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.1185,100,1028.9,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.1972,100,1039.88,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.25,100,1046.94,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.2998,100,1053.4,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
sUjaS,293.15,0.3494,100,1059.63,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",,,
