setid,"MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OJDzB,3.9145,86,298.15,1135.25,Shokri and Sadeghi (2020),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OJDzB,4.8836,86,298.15,1162.24,Shokri and Sadeghi (2020),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
