setid,"Temperature, K",Weight fraction of 1-methyl-3-propylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yTsxn,288.15,0,101,1105.34,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0077,101,1107.07,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0102,101,1107.62,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.012,101,1108.05,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0159,101,1108.91,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0203,101,1109.88,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0252,101,1110.97,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0297,101,1111.95,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0356,101,1113.27,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0423,101,1114.74,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0502,101,1116.49,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,0.0599,101,1118.62,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,288.15,1,101,1323.5,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,293.15,0,101,1100.31,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,293.15,0.0077,101,1102.06,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,293.15,0.0102,101,1102.61,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
yTsxn,293.15,0.012,101,1103.04,Sadeghi et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
