setid,"Temperature, K",Mole fraction of guanidinium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KDBmV,293.2,0.0202,101,1087.8,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,293.2,0.2073,101,1125,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,298.2,0.0202,101,1084,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,298.2,0.2073,101,1120.3,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,303.2,0.0202,101,1080.8,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,303.2,0.2073,101,1116.9,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,313.2,0.0202,101,1073.9,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,313.2,0.2073,101,1110.6,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,323.2,0.0202,101,1067.4,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,323.2,0.2073,101,1103.8,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,333.2,0.0202,101,1059.3,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,333.2,0.2073,101,1097.5,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,343.2,0.0202,101,1050.9,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,343.2,0.2073,101,1088.8,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,353.2,0.0202,101,1043.2,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,353.2,0.2073,101,1080,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,363.2,0.0202,101,1035,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
KDBmV,363.2,0.2073,101,1072.1,Sairi et al. (2015),Density,Liquid,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate,,,
