setid,"MolaLity of 1-butyl-3-methylimidazolium alaninate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tMvQY,0.0163,288.15,100.3,999.5,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,293.15,100.3,998.6,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,298.15,100.3,997.4,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,303.15,100.3,996,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,308.15,100.3,994.4,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,313.15,100.3,992.6,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,318.15,100.3,990.6,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,323.15,100.3,988.4,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0163,328.15,100.3,986.1,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,288.15,100.3,999.7,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,293.15,100.3,998.8,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,298.15,100.3,997.6,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,303.15,100.3,996.2,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,308.15,100.3,994.5,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
tMvQY,0.0218,313.15,100.3,992.7,Tong et al. (2017),Density,Liquid,AArlXo,CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-butyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
