setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Yvqvz,0.0226,298.15,100,936.9,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.0468,298.15,100,937.6,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.06,298.15,100,938,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.0797,298.15,100,938.5,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.1002,298.15,100,939,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.1216,298.15,100,939.5,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.141,298.15,100,940,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.1621,298.15,100,940.6,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.1781,298.15,100,941,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
Yvqvz,0.2012,298.15,100,941.5,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
