setid,"MolaLity of hydrogen sulfide, mol/kg","Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Effgu,0.056,343.15,72,0.0003085,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.065,333.15,70.2,0.0003049,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.073,323.15,65.6,0.0003015,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.08,313.15,59,0.0002983,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.09,303.15,52.9,0.000295,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.195,343.15,242.8,0.0002937,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.221,333.15,232.5,0.0002885,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.278,323.15,244.5,0.0002805,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.3,313.15,216.2,0.000276,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.318,303.15,183.1,0.000272,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.352,343.15,426.1,0.000279,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
