setid,"Temperature, K",Weight fraction of xylitol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PuMsV,278.15,0.05,101,1256.32,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,278.15,0.07,101,1258.74,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,278.15,0.098,101,1261.95,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,278.15,0.131,101,1267.09,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,278.15,0.15,101,1269.01,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,278.15,0.169,101,1271.21,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.05,101,1252.87,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.07,101,1255.31,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.098,101,1258.5,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.131,101,1263.64,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.15,101,1265.56,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,283.15,0.169,101,1267.75,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
PuMsV,288.15,0.05,101,1249.41,Carneiro et al. (2014),Density,Liquid,AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
