setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yXPap,293.15,0,101,1112.9,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.003,101,1112.3,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0061,101,1111,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0124,101,1109.6,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0188,101,1107.7,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0239,101,1106.3,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0358,101,1103.2,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0468,101,1100.3,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.069,101,1095.1,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
yXPap,293.15,0.0848,101,1091.8,Kermanpour et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
