setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Weight ratio of lithium nitrate to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PUbXg,333.15,0.35,100,2,1313,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,333.15,0.4,100,2,1282,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,333.15,0.45,100,2,1255,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,343.15,0.25,100,2,1362,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,343.15,0.3,100,2,1334,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,343.15,0.35,100,2,1306,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,343.15,0.4,100,2,1275,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,343.15,0.45,100,2,1249,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,353.15,0.25,100,2,1355,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,353.15,0.3,100,2,1327,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
