setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of N-(.beta.-aminoethyl)piperazine), mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
obfAO,298.15,2,0,101,1023.7,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,298.15,2,1,101,1032.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,298.15,2.25,0,101,1024.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,298.15,2.25,0.75,101,1033,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,298.15,2.5,0,101,1029.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,298.15,2.5,0.5,101,1033,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,303.15,2,0,101,1020.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,303.15,2,1,101,1029.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,303.15,2.25,0,101,1022.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,303.15,2.25,0.75,101,1030.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
