setid,"MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uyyXg,0.01043,101,298,0.0018,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.02242,101,298,0.0038,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.03001,101,298,0.0051,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.03227,101,298,0.0055,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.04363,101,298,0.0074,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.05077,101,298,0.0086,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.05164,101,298,0.0087,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.06328,101,298,0.011,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.06955,101,298,0.012,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.06975,101,298,0.012,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.07937,101,298,0.013,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.08473,101,298,0.014,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.09559,101,298,0.016,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
uyyXg,0.09583,101,298,0.016,Brouillette et al. (1998),Density,Liquid,AAWlFF,CCOCCOCC,"1,2-diethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
